"LATITUDE","total_hotspot","avg_brightness","avg_frp","max_frp"
-4.47385,1,331.41,3.17,3.17
-4.47337,1,331.33,3.04,3.04
-4.47107,1,335.11,3.76,3.76
-4.46862,1,331.34,5.81,5.81
-4.46664,1,307.84,1.52,1.52
-4.46604,1,303.37,0.68,0.68
-4.46577,1,326.43,1.91,1.91
-4.46428,1,308.81,2.46,2.46
-4.46351,1,331.32,6.74,6.74
-4.46267,1,338.32,16.43,16.43
-4.46186,1,321.27,10.38,10.38
-4.46035,1,337.81,2.56,2.56
-4.4594,1,330.34,2.2,2.2
-4.4591,1,341.81,27.06,27.06
-4.45904,1,331.74,7.88,7.88
-4.45801,1,335.31,7.88,7.88
-4.45767,1,330.77,3.48,3.48
-4.45535,1,332.01,8.38,8.38
-4.45527,1,330.24,2.12,2.12
-4.45421,1,340.58,29.2,29.2
-4.45393,1,354.64,31.06,31.06
-4.45294,1,313.78,1.37,1.37
-4.45127,1,339.4,3.98,3.98
-4.45118,1,339.73,12.27,12.27
-4.44874,1,341.06,10.34,10.34
-4.44333,1,333.71,9.72,9.72
-4.44279,1,336.32,15.51,15.51
-4.44271,1,342.12,25,25
-4.4425,1,341.43,11.51,11.51
-4.44205,1,298.72,0.64,0.64
-4.44177,1,328.59,2.48,2.48
-4.44049,1,331.91,7.31,7.31
-4.43918,1,340.16,6.79,6.79
-4.43724,1,300.03,2.5,2.5
-4.43595,1,339.73,4.23,4.23
-4.43564,1,305.88,0.84,0.84
-4.43497,1,332.42,4.56,4.56
-4.43446,1,340.67,16.53,16.53
-4.43432,1,354.17,10.98,10.98
-4.43343,1,331.99,4.46,4.46
-4.4329,1,329.13,20.43,20.43
-4.42911,1,334.05,3.9,3.9
-4.42596,1,346.83,9.12,9.12
-4.42572,1,333.34,3.83,3.83
-4.42317,1,317.4,1.32,1.32
-4.42196,1,330.25,2.46,2.46
-4.41976,1,336.31,3.99,3.99
-4.41954,1,328.73,6.13,6.13
-4.4176,1,304.2,0.72,0.72
-4.41399,1,339.64,5.35,5.35
-4.4133,1,337.02,6.46,6.46
-4.41322,1,309.8,1.48,1.48
-4.41215,1,304.02,1.26,1.26
-4.41119,1,332.34,4.69,4.69
-4.40899,1,340.41,13.98,13.98
-4.40861,1,345.11,12.16,12.16
-4.40768,1,330.67,9.55,9.55
-4.40604,1,339.04,3.64,3.64
-4.40468,1,314.45,2.7,2.7
-4.40331,1,355.15,12.16,12.16
-4.4025,1,315.67,6.54,6.54
-4.40152,1,341.43,9.06,9.06
-4.40137,1,309.99,1.43,1.43
-4.4006,1,334.95,3.68,3.68
-4.39939,1,335.64,2.74,2.74
-4.39904,1,333.92,9.21,9.21
-4.39757,1,337.58,11.7,11.7
-4.3974,1,341,8.3,8.3
-4.39693,1,337.19,8.91,8.91
-4.39686,1,309.47,1.26,1.26
-4.3959,1,345.17,12.11,12.11
-4.3957,1,333.13,1.93,1.93
-4.39542,1,356.47,11.7,11.7
-4.39528,1,339.56,9.24,9.24
-4.3925,1,318.34,1.79,1.79
-4.39174,1,330.91,2.61,2.61
-4.39146,1,319.73,2.47,2.47
-4.39072,1,335.22,13.98,13.98
-4.38937,1,310.91,0.96,0.96
-4.38476,1,310.68,0.71,0.71
-4.3835,1,344.41,67.94,67.94
-4.38098,1,334.13,11.27,11.27
-4.38012,1,367,56.44,56.44
-4.37888,1,331.12,3.16,3.16
-4.3784,1,313.29,1.48,1.48
-4.37827,1,312.76,12.16,12.16
-4.37748,1,304.29,0.91,0.91
-4.37731,1,315.18,2.08,2.08
-4.37564,1,340,11.5,11.5
-4.37495,1,343.7,8.26,8.26
-4.374,1,300.04,0.95,0.95
-4.37397,1,349.18,30.37,30.37
